,shopcode,shopname,shoplat,shoplng
7583,ilva,川 KAWA CAKE 燉飯帕菲果汁聖代咖啡,24.8036008,120.9874229
7584,tkns,吳家紅茶冰 (台東中山店),22.75450722,121.14989632
7585,e3ty,85度C (頭份建國店),24.6943318,120.91238251
7586,j5bi,3廠炸雞 (延平總店),24.80509498,120.9531592
7587,ndmg,新大埔鐵板燒 (三重自強店),25.0665804,121.4940735
7588,g5fw,達美樂Domino's (三重中正北店),25.06327,121.490057
7589,m2fh,上品養生藥膳美食,22.99180189,120.19288055
7590,udsh,麥味登 (潮州大同店),22.5426835,120.5336583
7591,ald3,阿貞姐酥餅,24.9587756,121.2989063
7592,jpd4,御井飲料炸雞,24.0142255,120.5690096
7593,b9zl,胖媽媽大腸麵線 (逢甲店),24.1799729,120.6457053
7594,aicd,玉津咖啡 (中壢新明店),24.9570651,121.2143394
7595,b4dp,三媽臭臭鍋 (台南歸仁店),22.96795417,120.28789952
7596,x8kn,吉野家 Yoshinoya (台北南二店),25.0514246,121.5610742
7597,mocz,叮哥茶飲 (楠梓德賢店),22.7263192,120.3038748
7598,e8op,炒飯達人,24.17522355,120.6447825
7599,i56x,潁川牛肉麵食館,24.40531125,120.64435892
7600,vvq0,嗨派鍋物,22.90730505,120.21956731
7601,qhw4,維維風果汁舖 (仁愛醫院一樓大廳),25.03765296,121.5455665
7602,hjn6,悟饕池上飯包 (三民熱河店),22.643554,120.308141
7603,yqlw,台茶1号 (竹北博愛店),24.83372726,121.00689465
7604,b9cj,新井茶 (台中東海店),24.18091074,120.58374117
7605,lohl,慕松田野.私房鍋物,24.670341,121.7778042
7606,tufy,好了啦超大杯 (溪湖西環店),23.9592361,120.4774607
7607,b4us,芫朗手作早午餐 (歸仁民族店),22.96795206,120.29237584
7608,m3zh,欣欣鴨肉焿,22.78237091,120.28429318
7609,b5ir,沙鹿正老牌貴大腸麵線,24.23859745,120.56005949
7610,f93v,滿香豆花店,24.15318906,120.61636819
7611,a0iz,飲食堂熱炒,25.03149164,121.44645967
7612,b8wy,翁阿舍飯擔,23.91303152,120.69056369
7613,k341,郁珊越南料理台灣小吃,24.9044057,121.0453705
